TwitterID,tweetMean,tweetSd
karringtonsc,-0.3618467229740729,0.1458761738891595
drmarkgreen4tn,-0.3754528104386726,0.13981846996162509
stevekingia,-0.35852879707388824,0.17609150374603771
becongress,-0.17110755747204479,0.2880512239127012
foxxforcongress,-0.3190758148460773,0.08621904364196993
elisestefanik,-0.46667140641306964,0.181198783360007
spanbergerva07,-0.539024682356401,0.2553294225985878
donnorcross4nj,-0.30639550296847307,0.10919831152709678
erik_paulsen,-0.3232591945026317,0.10550310232554184
markharrisnc9,-0.33975290727719604,0.12399092992725883
lizzie4congress,-0.5198960130597746,0.26390191643592514
edcasehawaii,,,
petestauber,-0.3218246600285507,0.10270660379902016
robinlynnekelly,-0.34180539353389205,0.13431381454399086
joshuamahony,-0.3974135153036372,0.13516019216292716
audrey4congress,-0.29296422798815047,0.11438097311524661
katieporteroc,-0.43730308380776445,0.15108017830649398
beraforcongress,-0.31903430248745673,0.08230164558424653
buddforcongress,-0.34667241482703387,0.11527944820643049
francisrooney,-0.2875651320012116,0.11237828927962824
mjhegar,-0.29830889988330667,0.19810595510720502
katherineclark,-0.3637303272214553,0.1473221032598957
peterroskam,-0.25946112547319145,0.21356991011999
sethmoulton,-0.3370736945745484,0.14023432854729095
nelsonforsenate,-0.20871500802968565,0.1897527535045361
votejimjordan,,,
josephbrumbles,-0.3543985401435787,0.11323974686984734
marty_nothstein,-0.3415605885146574,0.09894253535661289
leapeterson,-0.34485454541825095,0.11656040869854231
gdriskell,-0.338832113546495,0.09839934305901327
dtorres4cong,-0.37460458291976273,0.21333101117413503
ron4california,-0.4672509181650555,0.1674624416370276
bleeforcongress,-0.3557360225867713,0.12614344710866274
votethornton,-0.3390713261281357,0.10052780117011607
jenniferforva,-0.3900985910375426,0.19898150348584234
electlong,-0.2701668437887955,0.14498630839330395
kevinomccarthy,-0.34920970204051144,0.06582504746841081
carbajalsalud,-0.27861468996753463,0.11272177830981316
morriseywv,-0.23015706515059178,0.17696363959074296
stevedavid,-0.36564711410659106,0.1208786202016717
drlarrybucshon,-0.27956007107909187,0.10802698201094933
dlipinski03,-0.304758424475458,0.1696632004484168
tomcarperforde,-0.32958728124230174,0.10930985912685035
ericswalwell,-0.3537569833708707,0.17965399981782953
voteyvette,-0.3579960213112067,0.1563691067831651
electrodney,-0.31895695921591855,0.10938159219308889
val_demings,,,
jontester,-0.2865328359262659,0.10490845750175651
davidrouzer,-0.30544142764658894,0.11895433079743166
lisaringga01,-0.40470571541899925,0.1646001049679781
kanew,-0.5335477974771848,0.2567026092684855
deanheller,-0.36179650927521223,0.10974276106047408
kycomer,-0.29297230820400855,0.1628508629199612
braun4indiana,-0.3264840140403447,0.0983925854454593
team_harbaugh,-0.2320628154597808,0.17705481414315327
electconnolly,-0.2741855262194514,0.11866162017845411
stabenow,-0.31124560304232185,0.10979748262633277
