TwitterID,words
lisaringga01,"hshtg_consnc,hshtg_ncpol,county,gt,thanks,hshtg_obamacare,carolina,today,great,campaign,new,hshtg_gop,vote,support,obama,day,join,primary,help,gt gt"
kanew,"mnton_realdonaldtrump,god,california,great,like,mnton_realcandaceo,people,god bless,2018,today,america,bless,make,good,life,right,time,american,day,unemployment"
kycomer,"today,great,day,work,thanks,vote,join,time,let,hillary,new,office,make,help,happy,sign,trump,proud,obama,jobs"
braun4indiana,"great,tax,vote,support,today,thanks,day,thank,voted,friends,fight,time,tell,tax reform,veterans,senate,help,reform,like,need"
team_harbaugh,"mnton_kycomer,great,today,tonight,county,morning,day,meeting,support,good,proud,gop,thanks,state,leaders,appreciate,friend,governor,new,glad"
electconnolly,"great,kavanaugh,county,senator,president,like,judge,support,washington,today,mnton_realdonaldtrump,liberal,ve,vote,thank,day,business,time,senate,folks"
stabenow,"ohio,great,today,thanks,candidates,folks,day,running,candidate,county,town,best,honored,hall,district,thank,congressional,debate,support,tonight"
tammyforla,"thank,thanks,ll,today,congress,change,coming,time,let,campaign,money,people,grateful,great,love,parade,support,day,work,need"
leonardlancenj7,"louisiana,steve,thank,women,day,today,healthcare,time,need,meet,let,great,support,people,yes,night,vote,make,country,district"
godutchformd,"new jersey,congressman,proud,election,support,debate,senate,thank,county,new,address,rep,congress,tax,morning,great,home,budget,gop,send"
debdingell,"gt,trump,gt gt,president trump,security,sign,tell,health,protect,national,health care,today,know,make,president,mnton_potus,day,care,stand,sure"
yvonnehinsonfl,"michigan,today,thank,day,great,yesterday,women,friends,night,party,house,weekend,district,good,john,work,important,people,community,annual"
johnculberson,"florida,trump,thank,going,women,house,public,bring,vote,health,election,make,young,people,city,end,time,school,republicans,today"
davejoyceoh14,"louisiana,love,mnton_repclayhiggins,day,city,support,thank,today,honor,tonight,district,annual,time,great,friend,important,women,country,proud,thankful"
dennyforpa,"pelosi,house,houston,media,new,twitter,gov,good,live,texas,spending,sign,post,congress,tax,obama,america,video,thanks,need"
joeradinovich,"great,ohio,today,day,happy,good,congrats,thanks,thank,proud,tonight,time,county,support,vote,honored,night,year,let,morning"
rickgreenma,"women,today,ca,county,great,support,join,help,day,proud,clinton,vote,work,thank,protect,voters,need,california,congress,right"
barlow4congress,"great,today,county,thank,time,morning,day,statement,great time,meet,breakfast,yesterday,tonight,annual,big,night,meeting,evening,fair,good"
vetfordemocracy,"davidson,ohio,hshtg_tcot,conservative,district,great,today,vote,election,congress,thank,forum,congressman,special,congressional,candidates,west,voting,night,endorsed"
susanbrooksin,"hshtg_mapoli,hshtg_tcot,today,state,great,thank,read,campaign,join,committee,new,tonight,support,tax,endorsement,story,gop,rep,good,endorsed"
